year,rt_mean,rt_mean_sd,rt_sd,rt_sd_sd
1995,290.22,3.46,18.8,3.04
1996,290.12,4.23,20.86,3.24
1997,303.24,1.47,8.34,1.73
1998,279.84,5.15,20.54,4.01
1999,281.17,4.08,18.72,3.55
2000,277,2.08,11.42,2
2001,275.42,5.3,20.12,3.45
2002,274.61,4.17,18.23,4.37
2003,272.77,4.8,18,5.28
2004,296.64,1.83,11.18,2.59
2005,275.66,2.48,12.83,2.6
2006,288.51,11.74,25.76,5.19
2007,283.2,1.92,11.02,2.07
2008,255.82,2.5,11.66,2.24
2009,284.65,2.9,14.24,3.92
2010,277.14,4.25,17.44,4.39
2011,289.12,4.51,20.05,3.85
2012,291.88,3.9,18.53,3.81
2013,273.15,3.89,15.74,3.86
2014,282.11,3.08,16.5,1.8
2015,288.4,3.7,11.9,3.4
2016,276.8,6.9,10.8,3.4
